File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,2,3,14,15,23,31,32,33,34,35,46,47,55,63
SDS_CloudMask_2022221_aid0001,aid0001,2022-08-09 10:50:47+00:00,23204,005,0601,True,,74060.0,,2085.0,,,106.0,,,129.0,,,,,,
SDS_CloudMask_2022223_aid0001,aid0001,2022-08-11 14:04:41+00:00,23237,012,0601,True,,,,,,2874.0,,73949.0,,,,,,2.0,,119.0
SDS_CloudMask_2022225_aid0001,aid0001,2022-08-13 09:13:34+00:00,23265,007,0601,True,,31223.0,,21206.0,,331.0,19567.0,3918.0,,33.0,,101.0,,,1.0,
SDS_CloudMask_2022226_aid0001,aid0001,2022-08-14 08:24:27+00:00,23280,009,0601,True,17347.0,33464.0,,,,,,,72.0,33.0,,,,,,
SDS_CloudMask_2022227_aid0001,aid0001,2022-08-15 12:26:34+00:00,23298,012,0601,True,,,,169.0,,68.0,61188.0,6666.0,,,,1.0,,,128.0,
SDS_CloudMask_2022227_aid0001,aid0001,2022-08-15 12:27:26+00:00,23298,013,0601,True,,,,42.0,,5.0,19217.0,52.0,,,,,,,,
SDS_CloudMask_2022228_aid0001,aid0001,2022-08-16 08:24:23+00:00,23312,006,0601,True,,54762.0,,20805.0,,,908.0,,,128.0,,5.0,,,,
SDS_CloudMask_2022228_aid0001,aid0001,2022-08-16 11:38:39+00:00,23314,011,0601,True,,71005.0,,5406.0,,,397.0,,,136.0,,,,,,
SDS_CloudMask_2022229_aid0001,aid0001,2022-08-17 07:35:24+00:00,23327,006,0601,True,,76479.0,,,,,,,,129.0,,,,,,
SDS_CloudMask_2022230_aid0001,aid0001,2022-08-18 11:38:07+00:00,23345,011,0601,True,13812.0,,1950.0,,35.0,11302.0,,148.0,33.0,,,,,42.0,,
SDS_CloudMask_2022231_aid0001,aid0001,2022-08-19 10:48:58+00:00,23360,009,0601,True,,,,,,18106.0,,1314.0,,,,,,45.0,,
SDS_CloudMask_2022231_aid0001,aid0001,2022-08-19 10:49:50+00:00,23360,010,0601,True,,,,,,35433.0,,32557.0,,,,,,73.0,,64.0
SDS_CloudMask_2022232_aid0001,aid0001,2022-08-20 06:46:41+00:00,23373,006,0601,True,,,,,,46814.0,,29429.0,,,,,,79.0,,58.0
SDS_CloudMask_2022232_aid0001,aid0001,2022-08-20 10:00:50+00:00,23375,007,0601,True,,,,,,45736.0,,30968.0,,,,,,71.0,,61.0
SDS_CloudMask_2022233_aid0001,aid0001,2022-08-21 05:57:47+00:00,23388,006,0601,True,,,,5.0,,18780.0,557.0,56895.0,,,,2.0,,32.0,61.0,48.0
SDS_CloudMask_2022234_aid0001,aid0001,2022-08-22 10:00:11+00:00,23406,013,0601,True,,,,50174.0,,591.0,25882.0,155.0,,,,124.0,,,18.0,
SDS_CloudMask_2022235_aid0001,aid0001,2022-08-23 09:11:59+00:00,23421,012,0601,True,,,,,,6103.0,2478.0,68230.0,,,,,,,,133.0
SDS_CloudMask_2022236_aid0001,aid0001,2022-08-24 05:08:28+00:00,23434,003,0601,True,,,,40857.0,,,12367.0,,,,,75.0,,,33.0,
SDS_CloudMask_2022236_aid0001,aid0001,2022-08-24 05:09:19+00:00,23434,004,0601,True,,,,27145.0,,,9186.0,,,,,26.0,,,5.0,
SDS_CloudMask_2022236_aid0001,aid0001,2022-08-24 08:22:59+00:00,23436,011,0601,True,,56996.0,,13027.0,,,6447.0,,,138.0,,,,,,
SDS_CloudMask_2022237_aid0001,aid0001,2022-08-25 04:20:30+00:00,23449,007,0601,True,,69996.0,,5881.0,,,601.0,,,85.0,,35.0,,,10.0,
SDS_CloudMask_2022238_aid0001,aid0001,2022-08-26 08:22:58+00:00,23467,012,0601,True,,2444.0,,24580.0,,1.0,40427.0,9248.0,,,,36.0,,,100.0,
SDS_CloudMask_2022239_aid0001,aid0001,2022-08-27 04:20:37+00:00,23480,005,0601,True,,,,,9273.0,20794.0,,6011.0,,,,,28.0,19.0,,9.0
SDS_CloudMask_2022242_aid0001,aid0001,2022-08-30 06:45:58+00:00,23529,005,0601,True,,77003.0,,24.0,,,,,,146.0,,,,,,
SDS_CloudMask_2022243_aid0001,aid0001,2022-08-31 05:58:06+00:00,23544,011,0601,True,,,,,,76176.0,,630.0,,,,,,138.0,,
