File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,3,7,15,16386,16390,16399,16450,16454,16514,16518,16578,16582,16834,16838,17088,17089,17090,17094,17538,17602,17606,17856,17858,17862,18112,18113,18114,18117,18118,18562,18626,18630,18880,18882,18885,18886,19136,19137,19138,19141,19142,19650,19904,19906,19909,19910,20160,20162,20165,20166,32783,32962,33218,33222,33472,33474,33478,33986,34240,34242,34246,34496,34497,34498,34502,35010,35264,35266,35269,35270,35520,35521,35522,35525,35526,36288,36290,36293,36294,36544,36546,36549,36550,36930,36934,36994,36998,37058,37062,37314,37318,37568,37569,37570,37573,37574,38338,38592,38593,38594,38597,38598,38848,38849,38850,38854,39362,39366,39616,39617,39618,39621,39622,39872,39873,39874,39877,39878,40386,40640,40642,40645,40646,40896,40898,40901,40902,43712,43714,43717,44736,44738,44741,44742
SDS_QC_2022173_aid0001,aid0001,2022-06-22 10:14:12+00:00,22457,010,0601,True,,,442.0,8229.0,169.0,14159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022174_aid0001,aid0001,2022-06-23 09:26:18+00:00,22472,011,0601,True,,,,,,,,,,,,,7.0,,2.0,,37.0,1.0,,,,,42.0,,40.0,4.0,438.0,,21.0,,,,,589.0,,2.0,12103.0,229.0,13662.0,465.0,392.0,,,344.0,,,30473.0,16369.0,1110.0,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022175_aid0001,aid0001,2022-06-24 05:23:06+00:00,22485,006,0601,True,,,,,,,,,45.0,,43071.0,2029.0,25922.0,907.0,,,,,,138.0,3.0,,2947.0,71.0,,,,,,,35.0,1.0,,1717.0,,41.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022175_aid0001,aid0001,2022-06-24 08:37:54+00:00,22487,011,0601,True,,,,,,,,,,,53.0,,30172.0,2097.0,,,733.0,,,6.0,,,35976.0,542.0,,,753.0,,,,,,,5887.0,,80.0,,,459.0,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022178_aid0001,aid0001,2022-06-27 07:49:53+00:00,22533,010,0601,True,,,,,,,,,,,,,,,1.0,,,,,,,,,,92.0,1.0,,2.0,,,,,,,,,12990.0,131.0,,667.0,,,,,,,60225.0,,2151.0,,,,,,,,,,,,,,,,,,,,,,56.0,,,3.0,,,,,,579.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022179_aid0001,aid0001,2022-06-28 03:47:55+00:00,22546,004,0601,True,,,,,,,,,,,,,304.0,,,,,,,,,,18129.0,7.0,,,,,,,,,,54679.0,,2336.0,,,,,,,,1005.0,,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022180_aid0001,aid0001,2022-06-29 02:59:50+00:00,22561,006,0601,True,1510.0,6.0,,72781.0,2647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022183_aid0001,aid0001,2022-07-02 05:25:33+00:00,22609,006,0601,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8815.0,1537.0,21.0,57601.0,6279.0,2677.0,14.0
SDS_QC_2022185_aid0001,aid0001,2022-07-04 05:26:18+00:00,22640,010,0601,True,,,,,,,,,,,11540.0,496.0,21207.0,663.0,,,56.0,,,324.0,,,4478.0,198.0,,,324.0,,,,47.0,,,15520.0,,508.0,,,3944.0,,28.0,4.0,,12833.0,,826.0,,3658.0,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022186_aid0001,aid0001,2022-07-05 04:38:18+00:00,22655,005,0601,True,,,,,,,,,6818.0,245.0,66388.0,3033.0,314.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
